import time: self [us] | cumulative | imported package
import time:      5378 |      13273 |                       sqlalchemy.event.attr
import time:      5182 |      18454 |                     sqlalchemy.event.base
import time:      3135 |      21589 |                   sqlalchemy.event.api
import time:      3482 |      25071 |                 sqlalchemy.event
import time:      5820 |       5820 |                       sqlalchemy.log
import time:     19049 |      24868 |                     sqlalchemy.pool.base
import time:      5812 |      30680 |                   sqlalchemy.pool.events
import time:      5883 |       5883 |                     sqlalchemy.util.queue
import time:      4507 |      10389 |                   sqlalchemy.pool.impl
import time:      2931 |      43999 |                 sqlalchemy.pool
import time:      6091 |       6091 |                       sqlalchemy.sql.roles
import time:      4329 |       4329 |                       sqlalchemy.inspection
import time:     10169 |      20588 |                     sqlalchemy.sql._typing
import time:     11018 |      11018 |                       sqlalchemy.sql.visitors
import time:     11374 |      11374 |                       sqlalchemy.sql.cache_key
import time:      5922 |       5922 |                         sqlalchemy.sql.operators
import time:      7804 |      13726 |                       sqlalchemy.sql.traversals
import time:     20981 |      57098 |                     sqlalchemy.sql.base
import time:     10680 |      10680 |                       sqlalchemy.sql.coercions
import time:      4842 |       4842 |                             sqlalchemy.sql.annotation
import time:     16378 |      16378 |                                 sqlalchemy.sql.type_api
import time:     51808 |      68185 |                               sqlalchemy.sql.elements
import time:      6247 |       6247 |                               sqlalchemy.util.topological
import time:     14437 |      88868 |                             sqlalchemy.sql.ddl
import time:      1999 |       1999 |                                     _compat_pickle
import time:      2019 |       2019 |                                     _pickle
import time:     11163 |      15180 |                                   pickle
import time:      2163 |       2163 |                                     sqlalchemy.engine._py_processors
import time:      2806 |       4968 |                                   sqlalchemy.engine.processors
import time:     19681 |      39828 |                                 sqlalchemy.sql.sqltypes
import time:     75647 |     115474 |                               sqlalchemy.sql.selectable
import time:     29131 |     144605 |                             sqlalchemy.sql.schema
import time:      8747 |     247060 |                           sqlalchemy.sql.util
import time:     16531 |     263591 |                         sqlalchemy.sql.dml
import time:      7938 |     271529 |                       sqlalchemy.sql.crud
import time:     22428 |      22428 |                       sqlalchemy.sql.functions
import time:     38075 |     342711 |                     sqlalchemy.sql.compiler
import time:      3026 |       3026 |                       sqlalchemy.sql._dml_constructors
import time:      4698 |       4698 |                       sqlalchemy.sql._elements_constructors
import time:      5844 |       5844 |                       sqlalchemy.sql._selectable_constructors
import time:     61153 |      61153 |                       sqlalchemy.sql.lambdas
import time:      4560 |      79280 |                     sqlalchemy.sql.expression
import time:      4285 |       4285 |                     sqlalchemy.sql.default_comparator
import time:      5311 |       5311 |                       sqlalchemy.sql.events
import time:      3342 |       8653 |                     sqlalchemy.sql.naming
import time:     49094 |     561706 |                   sqlalchemy.sql
import time:       424 |     562129 |                 sqlalchemy.sql.compiler
import time:     21688 |     652886 |               sqlalchemy.engine.interfaces
import time:      5589 |       5589 |               sqlalchemy.engine.util
import time:      7795 |     666269 |             sqlalchemy.engine.base
import time:     20354 |     686623 |           sqlalchemy.engine.events
import time:      3133 |       3133 |               sqlalchemy.dialects
import time:      9472 |      12605 |             sqlalchemy.engine.url
import time:      3840 |       3840 |             sqlalchemy.engine.mock
import time:      7243 |      23687 |           sqlalchemy.engine.create
import time:      5204 |       5204 |               sqlalchemy.engine.row
import time:     18416 |      23619 |             sqlalchemy.engine.result
import time:      8647 |      32266 |           sqlalchemy.engine.cursor
import time:     13037 |      13037 |           sqlalchemy.engine.reflection
import time:      4030 |     759640 |         sqlalchemy.engine
import time:      3048 |       3048 |         sqlalchemy.schema
import time:      2288 |       2288 |         sqlalchemy.types
import time:      2560 |       2560 |           sqlalchemy.engine.characteristics
import time:     10707 |      13267 |         sqlalchemy.engine.default
import time:      6204 |    1538940 |       sqlalchemy
import time:      1808 |       1808 |                     sqlalchemy.sql._orm_types
import time:      4850 |       6657 |                   sqlalchemy.orm._typing
import time:     10628 |      17285 |                 sqlalchemy.orm.base
import time:      4647 |       4647 |                 sqlalchemy.orm.mapped_collection
import time:     10772 |      32702 |               sqlalchemy.orm.collections
